__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.
Room 7,http://ur.iaas.upenn.edu/location/350/,Room 7,Room 7,"Room 7 had its pavement preserved in the NW corner only and the rest of what was really a passage rather than a room showed no sign of ever having been paved. In front of the west door-jamb was a double impost of bricks set on edge and let into the clay floor. In the west wall there was a straight joint close to the NW corner, and at the south end a doorway to the street had been walled up so as to leave a shallow recess. The south jamb of the blocked door was connected with and seems to have been built on the top of a buttress of an older wall which ran under the south wall of Rooms 7 and 9 and served as a footing for them; its face to the door opening was rough, the bricks cut back and only smoothed over with mud plaster; it looked as if the burnt brickwork of the original angle had been bonded in to a mud brick wall which had afterwards been replaced by the existing burnt-brick west wall of Room 7 when the door was made; the blocking of the door would mark a third stage in the occupation of the building. Finally the jamb had been truncated and stood 0.70 m. high, with a flat top, projecting from the corner of the passage and fulfilling no structural purpose; it is possible that it served as the support of a wooden shelf of which the other end rested on wooden uprights set in the brick imposts; the quantity of tablets found along the wall here would be consistent with the existence of such a shelf: tablets were found in a somewhat similar passage-room in No. 2 Church Lane, q.v.",,,,,
Room 8,http://ur.iaas.upenn.edu/location/351/,Room 8,Room 8,"Chapel; Room 8, the chapel, (P1. 41b) was paved with mixed bricks, 0.31 m. sq., 0.31 m. X 0.15 m., 0.25 m. sq., 0.25 m. X 0.15 m., etc. The altar was at the west end and stood on a platform raised above the general level of the floor by a single course of bricks; it had four courses of burnt bricks with mud bricks above giving a total height of 0.45 m.; in the wall behind the altar was an incense-hearth 0.60 m. wide X 0.28 m. deep which at a height of 0.45 m. diminished in width to a chimney 0.20 m. across; in the SW corner were the remains of a decorated ""table"" of mud brick on burnt brick foundations; in the south wall above the dais was a recess 0.13 m. deep. Below the pavement was a large brick tomb LG/80, in the SE corner was an infant's burial in a hutch coffin (cf. PI. 96 a) set only just below pavement level, against the side of LG/80 was a larnax burial LG/79 and elsewhere under the floor were graves LG/76, 77, 78, 81. The east wall of the chapel (and of the house generally) is based on an older buttressed wall connected with that underlying the south side. All the internal walls are original to the house.",,,,,
LG/76 | AHG/170,http://ur.iaas.upenn.edu/location/908/,LG/76 | AHG/170,Larsa Grave 76,"Chapel.  Grave lay S. of the vaulted tomb LG/80.
Analysis indicates that the graves in this
structure, including LG/76, LG/77, LG /78, LG/80, LG/80.5, and LG/80.6, cannot be linked to a specific occupational phase; nevertheless, all of these graves appear to be associated with a LP occupation (note that the published directions are probably incorrect); location of LG/76 is known.",AH Grave 170,,Inhumation,125 (two).,"Body W X E, head E"
LG/77 | AHG/246,http://ur.iaas.upenn.edu/location/909/,LG/77 | AHG/246,Larsa Grave 77,Chapel.,AH Grave 246,,Larnax B,53,Body NE x SW.
LG/78 | AHG/298,http://ur.iaas.upenn.edu/location/910/,LG/78 | AHG/298,Larsa Grave 78,Chapel.,AH Grave 298,,Inhumation.,"lla (two), 131.","Body NW X SE, head SE"
LG/79 | AHG/312,http://ur.iaas.upenn.edu/location/911/,LG/79 | AHG/312,Larsa Grave 79,Chapel.,AH Grave 312,,Larnax.,"71, 125.",Body with head SE.
LG/80 | AHG/317,http://ur.iaas.upenn.edu/location/912/,LG/80 | AHG/317,Larsa Grave 80,Chapel.,AH Grave 317,,"Corbel- vaulted tomb with brick compartment for offerings. 
The bricks were re-used bricks of Sin-iddinam with crescents in relief.","26b, 71.",Plundered.
LG/80.5 | AHG/319,http://ur.iaas.upenn.edu/location/913/,LG/80.5 | AHG/319,Larsa Grave 80.5,,AH Grave 319,,Hutch burial.,,
LG/81 | AHG/318,http://ur.iaas.upenn.edu/location/916/,LG/81 | AHG/318,Larsa Grave 81; AH Grave 318,Chapel.,,,"Larnax. By this, an infant's 'hutch' burial, an inhumation burial with a pot of type IL.41c. light drab clay, and remains of a burial 
Larnax B","71 (five), 102.",Plundered.
Room 9,http://ur.iaas.upenn.edu/location/352/,Room 9,Room 9,"Room 9 was merely a continuation of the passage along the south side of the house; it had scanty remains of brick paving and below its floor, opposite the door to Room 8, was a child's grave. Here too, many tablets were found.",,,,,
Church Lane,http://ur.iaas.upenn.edu/location/1005/,Church Lane,Church Lane,The Eastern Boundary from the north to Carfax Square,,,,,
No. 1 Church Lane ,http://ur.iaas.upenn.edu/location/65/,No. 1 Church Lane,No. 1 Church Lane; Hendur-sag Chapel,"Off the corner of Church Lane and Straight Street.  This house is combined with Straight Street 1, rooms 1,2,3.; The chapel occupied a corner site fronting on Carfax; the main door of the chapel proper opened on Church Lane and a subsidiary entrance which served the little rooms probably appropriated to the officiating priests opened on Straight Street. Such changes as were made in the building during its existence did not involve any raising of its floor level; from the beginning this was well above the street. The walls, most of which had suffered severely, were of later date, constructionally, than those of the neighbouring house, No. 3 Church Lane, onto which they abutted.",Wayside Chapel; PaSag Chapel,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/267/,Room 1,Room 1,"The entrance-lobby (Room 1) had all its walls contemporary except the NE wall, which was older; the NW wall had six courses of burnt brick with mud brick above and in the north corner as many as ten courses; between the north comer and the door to the court it had been partly destroyed and rebuilt with a mixture of burnt and mud bricks. It was bonded into the SW wall and that again into the SE wall. The floor was brick-paved (bricks 0.245 m. X 0.155 m. X 0.07 m.) and there were remains of a brick box against the SW wall; some bricks of the same dimensions occurred in the NW and SE walls but most were of the size 0.26 m. X 0.165 m. X 0.07 m., the two being evidently in use at the same time.",,,,,
Room 2,http://ur.iaas.upenn.edu/location/268/,Room 2,Room 2,"Chapel; Room 2, the court, was remarkably undisturbed. Rubbish from the fallen walls and roof of the building covered the floor to a depth of up to 0.70 m.; above it lay alternate strata of wind-blown sand and water-laid mud, evidently the result of a period of desertion, which rose to a maximum height of 1.65 m. uniform and unbroken, and only then came the broken brick and mixed rubbish, pot-sherds etc. which constituted the ordinary debris spread over the whole quarter. Everything that had been in the building at the moment of its destruction had been preserved in situ. The NE wall stood from ten to seventeen courses high - where it was most ruined the water-laid strata ran over the top of it, showing that there was no rebuilding; the SW wall stood to seven courses, the NW also to seven; the floor was brick-paved, but in the west corner the pavement stopped short at 0.54 m. from the NW wall, and at 1.00 m. from the SW wall, and from the face of that wall three or four bricks projected by as much as 0.15 m., showing that there had been here some kind of pedestal whose front was presumably flush with that of the bases flanking the doorway, though the latter were not bonded into the wall, as whatever stood here in the corner must have been. In the NW wall were two doors, one leading to the passage, Room 5, the other, distinguished by reveals to its jambs, opening on the sanctuary. Against either jamb was a base or pedestal built of mud brick over burnt brick foundations, 0.54 m. sq. X 0.65 m. and 0.75 m. high respectively; in the top of the SW pedestal was a rectangular hollow 0.40 m. X 0.20 m. X 0.20 m. deep, lined with bitumen; the top of the other was flat. In front of the door stood a brick altar 0.75 m. X 0.50 m. X 0.75 m. high with traces of bitumen on its top. In the east corner there was a rectangle of burnt bricks about 1.00 m. X 1.10 m. raised 0.15 above the level of the pavement; if there had been mud brick above this it had disappeared, but that there had been such was not unlikely, and the top of the existing brickwork was rough and unlike a true surface. Against the NE wall, at 1.20 m. from the east corner of the court, there was a gap in the pavement 1.40 m. long and 0.65 m. wide; this may have been due simply to the disappearance of some of the paving-bricks, but was possibly the site of some construction in mud or mud brick, possibly a base.",,,,,
Room 3,http://ur.iaas.upenn.edu/location/269/,Room 3,Room 3,"Room 3 was brick-paved and on the same level as the court; its door had originally been wider but had been narrowed by the addition of a jamb against the SW wall and, apparently at the same time, an extra jamb had been built against the end of the NW wall reducing the entrance to less than 0.60 m.; in its present form it is a cupboard rather than a room.",,,,,
Room 4,http://ur.iaas.upenn.edu/location/270/,Room 4,Room 4,"Sanctuary; Room 4, the sanctuary; the threshold was raised by a single course of bricks, the floor
was brick-paved; in the NW wall, facing the entrance, was a niche of which the lower part was filled by a base of mud brick, plastered with mud and whitewashed, on which stood a limestone statue of the goddess, U.16424, Pls. 52a and 56a. The statue had been broken in antiquity and roughly mended with bitumen and the feet were missing, so that the lower part of the figure was embedded in the mud base to keep it in position.

The sanctuary had been closed by a light door consisting of a plain wooden frame with panels of straight reed stems set vertically; it had of course decayed away completely, but the imprint of it left in the soil was astonishingly clear (PI. 51b). The hinge-pole, 0.095 m. diam., was against the inner corner of the NE jamb and rested on a hollowed brick; the flap of the door was 0.15 m. above pavement level, so as to clear the raised threshold; the width of the flap was 1.12 m., the bottom board of the frame was 0.22 m. wide, the sides of the frame apparently 0.04 m.; there were in the panel thirty three reed stems with an average diameter of 0.03 m. and the whole was preserved to a height of 1.05 m.",,,,,
No. 11 Church Lane,http://ur.iaas.upenn.edu/location/75/,No. 11 Church Lane,No. 11 Church Lane,"Outside the front door was a flight of five brick steps continued into the angle made by the SE corner of No. 13 by a flat-topped block of burnt brickwork. The door-jambs had reveals. The small lobby (1) was brick-paved and led through a second door into the central
court (2).",Ram Chapel,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/314/,Room 1,Room 1,Entrance Lobby; The small lobby (1) was brick-paved and led through a second door into the central court (2).,,,,,
Room 2,http://ur.iaas.upenn.edu/location/315/,Room 2,Room 2,"Court; The court (Room 2) was paved with bricks 0.30 m. sq.; its south wall had twelve courses of burnt brick with mud brick above, the north wall was destroyed to below floor level. At its west end were two sanctuaries each consisting of two small rooms, a fore-chamber and an inner shrine.",,,,,
Room 3,http://ur.iaas.upenn.edu/location/316/,Room 3,Room 3,"Altar; In front of the doorway of Room 3 was the altar of burnt brick, 0.65 m. high; the doorway itself had reveals; the pavement of the room was raised 0.20 m. above the level of the court (Room 2) and there was a second rise of 0.20 m. to the pavement of the inner sanctuary (4).",,,,,
Room 4,http://ur.iaas.upenn.edu/location/317/,Room 4,Room 4,"Inner Sanctuary; There was no niche or statue-base, but in Room 4 was found a steatite ram's
head U.16427, PI. 59 a, which was probably from a ceremonial staff; on the other hand, in the back wall of Room 4 at a point 0.65 m. from either corner the burnt bricks rose two courses higher than at the sides, and it is possible that originally there had been a central niche in the mud-brick wall, starting at 0.55 m. above floor level, which at a later date had been blocked with a filling of burnt bricks; but this could not be proved.",,,,,
Room 5,http://ur.iaas.upenn.edu/location/318/,Room 5,Room 5,"Sanctuary; The northern sanctuary (Rooms 5 and 6) was a patchwork; the west wall was an addition which, properly speaking, did not belong to the building at all and the north wall was a mixture of burnt-brick and mud-brick construction not all of the same date; the east wall, north of the doorway, was of mud brick whereas the south door-jamb was of burnt bricks, but a base which projected north of the door was of burnt brick and yet bonded into the wall against which it stood; beyond this was a mud-brick table 0.40 m. sq. The wall between Rooms 5 and 6 was a flimsy screen of mud brick; the shallow niche in the south wall of Room 5 would seem to have been a recess intended to take the flap of the opened door, not a ritual niche; the pavement had been destroyed and there was no sign of a statue-base.",,,,,
Room 6,http://ur.iaas.upenn.edu/location/319/,Room 6,Room 6,"Sanctuary; The northern sanctuary (Rooms 5 and 6) was a patchwork; the west wall was an addition which, properly speaking, did not belong to the building at all and the north wall was a mixture of burnt-brick and mud-brick construction not all of the same date; the east wall, north of the doorway, was of mud brick whereas the south door-jamb was of burnt bricks, but a base which projected north of the door was of burnt brick and yet bonded into the wall against which it stood; beyond this was a mud-brick table 0.40 m. sq. The wall between Rooms 5 and 6 was a flimsy screen of mud brick; the shallow niche in the south wall of Room 5 would seem to have been a recess intended to take the flap of the opened door, not a ritual niche; the pavement had been destroyed and there was no sign of a statue-base.",,,,,
Room 7,http://ur.iaas.upenn.edu/location/320/,Room 7,Room 7,"Returning to the courtyard (2), the pavement on the north side was destroyed and the north wall was largely of mud brick; the northern section of the east wall also was of mud brick and it returned to make an entrance to Room 7 (paved) out of which a door whose east jamb had vanished led into the cupboard, Room 8.",,,,,
Room 8,http://ur.iaas.upenn.edu/location/321/,Room 8,Room 8,"Returning to the courtyard (2), the pavement on the north side was destroyed and the north wall was largely of mud brick; the northern section of the east wall also was of mud brick and it returned to make an entrance to Room 7 (paved) out of which a door whose east jamb had vanished led into the cupboard, Room 8.",,,,,
No. 13 Church Lane,http://ur.iaas.upenn.edu/location/79/,No. 13 Church Lane,No. 13 Church Lane,"Part of the house had been cut away for the building of the ""Ram Chapel""; the dividing wall between the buildings was of mud brick only but was bonded into the burnt brickwork; the facade of the Ram Chapel was shortened in order to retain the entrance-lobby of the house. The front wall had fourteen courses of burnt brick with mud brick above. The threshold had been raised several times, showing one opening at 0.45 m. above the existing pavement of the interior (0.80 m. above the footings of the wall) and another 0.60 m. higher still; the changes were in keeping with the character of the house, which had evidently been more than once remodelled.",,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/322/,Room 1,Room 1,"Entrance Lobby; Room 1, brick-paved, opened into the similarly paved central court (2)",,,,,
Room 10,http://ur.iaas.upenn.edu/location/331/,Room 10,Room 10,"Chapel; Room 10 had been the chapel, but was dismantled; most of the pavement had
been pulled up, though part of the raised dais was left at the north end, and the altar had served as the foundation of a new mud-brick wall which reinforced the old north wall; all the walls were of mud brick and were much destroyed, none of the true face remaining. Under the floor, belonging to the earlier phase of the house, was a larnax grave containing clay pots of Types IL.8b and 116.",,,,,
LG/62.1 | AHG/106,http://ur.iaas.upenn.edu/location/1179/,LG/62.1 | AHG/106,Larsa Grave 62.1,,AH Grave 106,,Tomb,,
Room 11,http://ur.iaas.upenn.edu/location/332/,Room 11,Room 11,"Court; The large area to the north numbered as Room 11 was certainly an open court or yard; it had been paved, and in the NW corner there was a block of burnt brickwork 0.85 m. high of which the use is unknown. The east wall dividing it from Room 5 was a late addition, not bonded at either end. On the west an opening, much wider than any normal door, gave access to Room 12. Originally there had been here a wall with nine courses of burnt brick below and mud brick above having a doorway in its centre; later all the wall south of the door was destroyed and the northern section lost some of its burnt brick; then the north section was repaired in mud brick and the south section rebuilt in mud brick over two courses of burnt brick; then the doorway was bricked up and either at that time or later the wall to the south of it was again razed to make the wide opening shown on the plan.",,,,,
Room 12,http://ur.iaas.upenn.edu/location/333/,Room 12,Room 12,"Room 12 was paved and had a drain at the north end; all the walls were of mud brick. In the west wall there were two doors to Room 13, but one had been blocked up.",,,,,
Room 13,http://ur.iaas.upenn.edu/location/334/,Room 13,Room 13,"Chapel; Room 13 had at the north end a certain amount of pavement preserved, but this lay nearly 0.50 m. below that of Room 12, so may have belonged to an earlier phase of the building, though even so it was high enough to bury all the burnt-brick foundations of its walls, so that in relation to them it is late. Against the south wall, west of the door, there were remains of a raised brick base; by the corner of it, nearly in front of the door, there was buried for half its height under pavement level a round terracotta tub (ht. 0.50 m., diam. 0.58 m.) with horizontally ribbed sides coated inside and out with bitumen, obviously a water-basin. Sunk in the pavement was a clay pot containing tablets.",,,,,
